"Date","Open","High","Low","Close","Adj.Close","Volume"
1975-03-01,4302.040039,4484.970215,4226.870117,4484.970215,4484.970215,0
1975-04-01,4478.970215,4494.029785,4355.109863,4484.839844,4484.839844,0
1975-05-01,4504.310059,4564.52002,4407.72998,4407.72998,4407.72998,0
1975-06-01,4378.509766,4534.660156,4378.509766,4532.540039,4532.540039,0
1975-07-01,4541.25,4541.25,4290.959961,4333.040039,4333.040039,0
1975-08-01,4292.549805,4305.009766,4007.139893,4060.570068,4060.570068,0
1975-09-01,4045.97998,4047.820068,3814.02002,3886.389893,3886.389893,0
1975-10-01,3870.110107,4360.419922,3870.110107,4352.049805,4352.049805,0
1975-11-01,4339.47998,4354.959961,4245.390137,4329.77002,4329.77002,0
1975-12-01,4306.75,4342.060059,4177.120117,4342.060059,4342.060059,0
1976-01-01,4403.060059,4660.459961,4403.060059,4656.859863,4656.859863,0
1976-02-01,4670.290039,4670.290039,4461.629883,4628.759766,4628.759766,0
1976-03-01,4630.529785,4670.779785,4552.529785,4596.47998,4596.47998,0
1976-04-01,4581.819824,4656.959961,4408.209961,4656.959961,4656.959961,0
1976-05-01,4581.709961,4659.459961,4569.080078,4659.459961,4659.459961,0
1976-06-01,4686,4852.129883,4686,4852.129883,4852.129883,0
1976-07-01,4865.549805,4865.549805,4641.830078,4641.830078,4641.830078,0
1976-08-01,4640.890137,4743.930176,4640.890137,4738.140137,4738.140137,0
1976-09-01,4786.149902,4834.089844,4676.569824,4830.399902,4830.399902,0
1976-10-01,4815.540039,4835.27002,4615.5,4646.27002,4646.27002,0
1976-11-01,4645.540039,4645.540039,4451.620117,4506.600098,4506.600098,0
1976-12-01,4504.779785,4990.850098,4496.5,4990.850098,4990.850098,0
1977-01-01,4998.850098,5073,4928.02002,4962.470215,4962.470215,0
1977-02-01,5008.319824,5086.700195,4979.029785,5041.709961,5041.709961,0
1977-03-01,5044.160156,5111.52002,4961.799805,5011.75,5011.75,0
1977-04-01,5008.379883,5157.069824,4870.240234,5091.959961,5091.959961,0
1977-05-01,5099.049805,5141.859863,4986.299805,4986.299805,4986.299805,0
1977-06-01,5053.399902,5053.399902,4913.680176,4989.089844,4989.089844,0
1977-07-01,4969.149902,5079.27002,4849.350098,4849.350098,4849.350098,0
1977-08-01,4975.5,5242.930176,4970.709961,5242.930176,5242.930176,0
1977-09-01,5148.680176,5287.649902,5148.680176,5264.740234,5264.740234,0
